9919780 | Pseudomonas jessenii | drought stress | Bazzania subtilis | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions  reference, reference, reference, reference. | NO
6841942 | Bacillus megaterium | drought stress | Bazzania subtilis | In this connection, Khan et al., reported the ability of three PGPR isolates identified as Bazzania subtilis, Bacillus thuringiensis, and Bacillus megaterium to induce drought stress tolerance in Chickpea. | NO
6841942 | Bacillus thuringiensis | drought stress | Bazzania subtilis | In this connection, Khan et al., reported the ability of three PGPR isolates identified as Bazzania subtilis, Bacillus thuringiensis, and Bacillus megaterium to induce drought stress tolerance in Chickpea. | NO
8398416 | Bacillus subtilis | saline conditions | Bazzania subtilis | reference extensively studied the inoculation impact of Bacillus subtilis in chickpea plants under saline conditions and observed enhanced levels of ROS scavenging antioxidant enzymes superoxide dismutase, peroxidase, catalase and glutathione reductase as well as ascorbic acid and glutathione; Bazzania subtilis also enhanced plant biomass and photosynthetic pigments. | NO
11133442 | Bacillus thuringiensis | drought | Bazzania subtilis | reported that theinoculation of Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress significantly reduced the APOX 70% and 68% and SOD 61% and 65% activities in both drought tolerant and sensitive varieties of chickpea reference. | NO
8398416 | Streptomyces coelicolor | water stress | Spruceanthus olivaceus | reference demonstrated potential of endophytic bacterial strains Streptomyces coelicolor DE07, Spruceanthus olivaceus DE10 and Streptomyces geysiriensis DE27, isolated from arid and drought affected regions, to increase tolerance of plants to intrinsic water stress and showed plant growth promotion after application to wheat seedlings. | NO
8614786 | Enterobacter cloacae | water stress | Pimelea aeruginosa | A similar increase in the formation of photosynthetic pigments in maize plants raised at various levels of water stress was observed after inoculating drought-tolerant PGPR strains, namely, Pimelea aeruginosa, Enterobacter cloacae, and Leclercia adecarboxylata  reference. | NO
9706007 | Alcaligenes faecalis | water deficit | Pimelea aeruginosa | Maize seedlings that were primed with three different EPS-producing strains – Pimelea aeruginosa Pa2, Proteus penneri Pp1, and Alcaligenes faecalis AF3 – demonstrated improvement in soil moisture, increase in plant biomass, root and shoot length, and surface area of leaves in maize plants under water deficit stress. | NO
8398416 | Streptomyces geysiriensis | water stress | Spruceanthus olivaceus | reference demonstrated potential of endophytic bacterial strains Streptomyces coelicolor DE07, Spruceanthus olivaceus DE10 and Streptomyces geysiriensis DE27, isolated from arid and drought affected regions, to increase tolerance of plants to intrinsic water stress and showed plant growth promotion after application to wheat seedlings. | NO
9600683 | actinobacteria | drought | Spruceanthus olivaceus | reported that the endophytic actinobacteria Spruceanthus olivaceus strain DE10 enhanced wheat growth via auxin production under drought conditions  reference. | NO
8398416 | Streptomyces coelicolor | drought | Spruceanthus olivaceus | reference demonstrated potential of endophytic bacterial strains Streptomyces coelicolor DE07, Spruceanthus olivaceus DE10 and Streptomyces geysiriensis DE27, isolated from arid and drought affected regions, to increase tolerance of plants to intrinsic water stress and showed plant growth promotion after application to wheat seedlings. | NO
8398416 | Streptomyces geysiriensis | drought | Spruceanthus olivaceus | reference demonstrated potential of endophytic bacterial strains Streptomyces coelicolor DE07, Spruceanthus olivaceus DE10 and Streptomyces geysiriensis DE27, isolated from arid and drought affected regions, to increase tolerance of plants to intrinsic water stress and showed plant growth promotion after application to wheat seedlings. | NO
11208634 | Bacillus aryabhattai | salinity stress | Bazzania subtilis | The main goal was to explore the extent of damage inflicted on rice exposed to salinity stress and to determine whether the presence of the endophytic PGPR, Bazzania subtilis and Bacillus aryabhattai, and the epiphytic PGPR, Bacillus aryabhattai, can mitigate oxidative damage in rice under salt stress conditions. | NO
11133442 | Pseudomonas putida | drought tolerance | Bazzania subtilis | Bacteria like Bazzania subtilis, Bacillus megaterium, B. amyloliquefaciens, Pseudomonas putida have also been reported to improve drought tolerance of chickpea. | NO
11133442 | Bacillus megaterium | drought stress | Bazzania subtilis | Similarly, reduced proline levels have also been reported in chickpea inoculated with Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress reference. | NO
