10823023 | Ochrobactrum pseudogrignonense | water stress | Pisum sativum | -REF- studied Vigna mungo L. and Pisum sativum L. subjected to water stress and inoculated them with a combination of three ACC deaminase-producing rhizobacteria Ochrobactrum pseudogrignonense RJ12, Pseudomonas sp. | NO
8614786 | Rhizobium tropici CIAT 899 | drought | Petalochilus vulgaris | Co-inoculation of Petalochilus vulgaris L. common bean with drought tolerating PGPR strains Rhizobium tropici CIAT 899, Paenibacillus polymyxa DSM36, and Paenibacillus polymyxa Loutit, resulted in higher growth and nodulation relative to plant raised in soil treated only with drought stressor PEG -REF-. | NO
9213282 | Brevibacterium laterosporus | drought | rice | Treatment of rice with the combination of IAA- and siderophore-producing B. amyloliquefaciens and Brevibacterium laterosporus improves resistance to drought and cold stress by inducing the expression of genes such as OsMYB3R-2, dehydration-responsive element-binding protein 1 A OsDREB1A, OsCDPK13, and drought-induced LTP OsDIL Kakar et al. | NO
9213282 | Brevibacillus laterosporus | cold | rice | In another case, rice plants treated with a consortium of two rhizobacteria Bacillus amyloliquefaciens and Brevibacillus laterosporus and biochemical growth elicitors SA and β-aminobutyric acid exhibited improved growth and survival, and showed reduced levels of chlorosis, leaf rolling, wilting and necrosis under cold and drought stress Kakar et al. | NO
10823023 | Pseudomonas | water stress | Pisum sativum | -REF- studied Vigna mungo L. and Pisum sativum L. subjected to water stress and inoculated them with a combination of three ACC deaminase-producing rhizobacteria Ochrobactrum pseudogrignonense RJ12, Pseudomonas sp. | NO
9428627 | Bacillus thuringiensis | drought | Retama sphaerocarpa | Additionally, -REF- demonstrated that interactions between Bacillus thuringiensis and Glomus increase plant water uptake in Retama sphaerocarpa under drought. | NO
11133442 | Bacillus subtilis | drought | chickpea | reported that combined inoculation of Mesorhizobium ciceri RZ-11, Bacillus subtilis RP-01 and Bacillus mojavensis RS-14 resulted in 45–50% improvement in chickpea yield under drought stress -REF-. | NO
8614786 | Rhizobium tropici CIAT 899 | drought | common bean | Co-inoculation of Petalochilus vulgaris L. common bean with drought tolerating PGPR strains Rhizobium tropici CIAT 899, Paenibacillus polymyxa DSM36, and Paenibacillus polymyxa Loutit, resulted in higher growth and nodulation relative to plant raised in soil treated only with drought stressor PEG -REF-. | NO
11133442 | Bacillus thuringiensis | drought | chickpea | Similarly, reduced proline levels have also been reported in chickpea inoculated with Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress -REF-. | NO
11509602 | Claroideoglomus etunicatum | salt | Cenchrus ciliaris | So, the main purpose of this study was to estimate the role of AMF applied as a consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Rhizophagus fasciculatum, and Rhizophagus intraradices species symbiosis in mitigating deleterious salt stress effects on the growth parameters shoot length SL, root length RL, shoot dry weight SDW, root dry weight RDW, root surface area RSA, total root length TRL, root volume RV, root diameter RD, number of nodes and leaves of Cenchrus ciliaris L. plants through improved accumulations of photosynthetic pigments chlorophyll a, chlorophyll b, total chlorophyll, proline and phenolic compounds. | NO
9706007 | Bacillus | saline conditions | beans | Similarly, combined application of ACC deaminase and EPS-producing Bacillus isolates and Rhizobium improved faba beans seedling growth under saline conditions by accumulation of sugars and proteins -REF-. | NO
10101020 | Kushneria | salt | rice | Furthermore, the dominant bacteria Kushneria and Bacillus were obtained from the phyllosphere and rhizosphere, respectively, and their coculture with rice could effectively alleviate salt stress and promote rice growth. | NO
7691295 | Glomus intraradices | salt | Lactuca sativa | -REF- examined the effects of inoculation of plant growth-promoting rhizobacterium Pseudomonas mendocina, alone or in combination with AMF Glomus intraradices or Glomus mosseae on the growth, nutrient accumulation, and physiological parameters of Lactuca sativa exposed to salt stress. | NO
10252715 | Azospirillum brasilense | salinity | peppers | However, Del Amor and Cuadra-Crespo, 2012, showed that the co-inoculation of Azospirillum brasilense and Pantoea diversa on sweet peppers did not affect the photochemical efficiency of photosystem II and the relative content of chlorophyll but contributed to maintaining a higher stomatal conductivity; therefore, they concluded that the influence of inoculants on the response to salinity was due mainly to the stomatal regulation of photosynthesis and not to the influence on the biochemical limitations of photosynthesis -REF-. | NO
10823023 | Pseudomonas | water stress | Vigna mungo | -REF- studied Vigna mungo L. and Pisum sativum L. subjected to water stress and inoculated them with a combination of three ACC deaminase-producing rhizobacteria Ochrobactrum pseudogrignonense RJ12, Pseudomonas sp. | NO
10381829 | Sinomonas | drought | Pinus massoniana | Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of Penicillium, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the drought resilience of Pinus massoniana. | NO
8003591 | Azotobacter chroococcum | salt | faba bean | Abd El-Ghany and Attia 2020 -REF- found that the combination of Mel and peat-based inoculants Rhizobium leguminosarum, a N fixing bacterium, and Azotobacter chroococcum, an EPS-producing bacterium synergistically enhanced salt stress tolerance in faba bean plants Vicia faba as compared to Mel- or inoculants-treated seeds alone. | NO
10381829 | Trichoderma longibrachiatum | drought | Pinus massoniana | These results suggested that Trichoderma longibrachiatum treatment might effectively increase Burkholderia, Rhodanobacter, and Trichoderma abundance in the soil, synergistically regulating soil nutrient contents, and thereby enhancing the drought tolerance of Pinus massoniana. | NO
