11172717 | Bacillus amyloliquefaciens | salt | Arabidopsis | Extracellular spermidine produced by Bacillus amyloliquefaciens SQR9 has been demonstrated to enhance salt stress tolerance in Arabidopsis and maize -REF-. | NO
7344409 | Bacillus thuringiensis | water deficit | soybeans | The application of thuricin 17 produced by Bacillus thuringiensis NEB17 to soybeans Glycine max in conditions of water deficit has led to the modification of the root structures, an increase in the biomass of the roots and nodules, in the length of the roots, an increase in ABA, and the total N content in the roots -REF-. | NO
11205796 | Pseudomonas chlororaphis | drought | Arabidopsis thaliana | Previously, it was demonstrated that the applications of extracellular polymeric substances EPSs, originating from Pseudomonas chlororaphis O6, to epidermal peels of leaves of Arabidopsis thaliana led to the induction of systemic drought tolerance -REF-. | NO
9713481 | Burkholderia pyrrocinia | salt | Arabis thaliana | We also observed that Arabis thaliana seedlings exposed to Burkholderia pyrrocinia CNUC9 VOCs showed significantly enhanced growth compared to non-VOCs-exposed plants under both normal and salt stress conditions. | NO
7344409 | Bacillus thuringiensis | water deficit | Glycine max | The application of thuricin 17 produced by Bacillus thuringiensis NEB17 to soybeans Glycine max in conditions of water deficit has led to the modification of the root structures, an increase in the biomass of the roots and nodules, in the length of the roots, an increase in ABA, and the total N content in the roots -REF-. | NO
11233480 | Begomovirus | drought | tomato | Moreover, C4 protein of Begomovirus Tomato yellow leaf curl virus TYLCV also has been shown to provide tolerance to drought in tomato and Nicotiana benthamiana Corrales-Gutierrez et al. | NO
11172717 | Bacillus amyloliquefaciens SQR9 | salt | maize | Extracellular spermidine produced by Bacillus amyloliquefaciens SQR9 has been demonstrated to enhance salt stress tolerance in Arabidopsis and maize -REF-. | NO
8828500 | Pantoea | saline conditions | wheat | Under saline conditions, IAA concentrations of 0.22–25.58 μg mL–1, which can be produced by Pseudomonas sp., Rhizobium sp., Enterobacter sp., Pantoea sp., Marinobacterium sp., Acinetobacter sp., and Sinorhizobium sp., were shown to influence germination and seedling growth in wheat -REF-. | NO
10097229 | Pseudomonas putida | salt | Mentha piperita | Chemical Analysis of mVOCs Due to the observed positive effect of VOCs emitted by SJ46 and SJ04 on Mentha piperita grown under salt stress conditions and also the inhibitory effect on phytopathogenic fungi, a headspace analysis was carried out to identify the mVOCs produced by non-inoculated vials, DH5 α, Pseudomonas putida SJ04, and SJ46. | NO
9698351 | Pseudomonas chlororaphis O6 | drought | Arabidopsis | The closure of the stomata in Arabidopsis confers drought resilience on the host, according to a study employing the VOC 2R-3R-butanediol produced by Pseudomonas chlororaphis O6 -REF-. | NO
8828500 | Marinobacterium | saline conditions | wheat | Under saline conditions, IAA concentrations of 0.22–25.58 μg mL–1, which can be produced by Pseudomonas sp., Rhizobium sp., Enterobacter sp., Pantoea sp., Marinobacterium sp., Acinetobacter sp., and Sinorhizobium sp., were shown to influence germination and seedling growth in wheat -REF-. | NO
11172717 | Bacillus amyloliquefaciens SQR9 | salt | Arabidopsis | Extracellular spermidine produced by Bacillus amyloliquefaciens SQR9 has been demonstrated to enhance salt stress tolerance in Arabidopsis and maize -REF-. | NO
9713481 | Burkholderia pyrrocinia | salt | Arabis thaliana | Conclusion Our findings have shown that co-culture with Burkholderia pyrrocinia CNUC9 VOCs stimulated the development of the root system architecture, leaf proliferation, and induction of salt tolerance in Arabis thaliana seedlings. | NO
8828500 | Sinorhizobium | saline conditions | wheat | Under saline conditions, IAA concentrations of 0.22–25.58 μg mL–1, which can be produced by Pseudomonas sp., Rhizobium sp., Enterobacter sp., Pantoea sp., Marinobacterium sp., Acinetobacter sp., and Sinorhizobium sp., were shown to influence germination and seedling growth in wheat -REF-. | NO
7641974 | Pseudomonas simiae | salt | soybean | Two bacterial volatiles, 4-nitroguaiacol, and quinoline produced by salt-tolerant Pseudomonas simiae were reported to induce soybean growth under 150 mM salt stress -REF-. | NO
8828500 | Acinetobacter | saline conditions | wheat | Under saline conditions, IAA concentrations of 0.22–25.58 μg mL–1, which can be produced by Pseudomonas sp., Rhizobium sp., Enterobacter sp., Pantoea sp., Marinobacterium sp., Acinetobacter sp., and Sinorhizobium sp., were shown to influence germination and seedling growth in wheat -REF-. | NO
11172717 | Bacillus amyloliquefaciens | salt | maize | Extracellular spermidine produced by Bacillus amyloliquefaciens SQR9 has been demonstrated to enhance salt stress tolerance in Arabidopsis and maize -REF-. | NO
7688926 | Alcaligenes faecalis | salt | Arabidopsis | Moreover, the exposure of Arabidopsis Col-0 to VOCs from Alcaligenes faecalis JBCS1294 under salt stress increased the shoot and root length, lateral root number, and fresh weight -REF-; -REF-. | NO
9698351 | Pseudomonas chlororaphis | drought | Arabidopsis | The closure of the stomata in Arabidopsis confers drought resilience on the host, according to a study employing the VOC 2R-3R-butanediol produced by Pseudomonas chlororaphis O6 -REF-. | NO
8828500 | Enterobacter | saline conditions | wheat | Under saline conditions, IAA concentrations of 0.22–25.58 μg mL–1, which can be produced by Pseudomonas sp., Rhizobium sp., Enterobacter sp., Pantoea sp., Marinobacterium sp., Acinetobacter sp., and Sinorhizobium sp., were shown to influence germination and seedling growth in wheat -REF-. | NO
8828500 | Rhizobium | saline conditions | wheat | Under saline conditions, IAA concentrations of 0.22–25.58 μg mL–1, which can be produced by Pseudomonas sp., Rhizobium sp., Enterobacter sp., Pantoea sp., Marinobacterium sp., Acinetobacter sp., and Sinorhizobium sp., were shown to influence germination and seedling growth in wheat -REF-. | NO
