9694901 | Rhizobium | High temperature | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
9694901 | Rhizobium tropici | drought | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
9694901 | Paenibacillus polymyxa | drought | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
9213282 | Bacillus amyloliquefaciens | cold | rice | In another case, rice plants treated with a consortium of two rhizobacteria Bacillus amyloliquefaciens and Brevibacillus laterosporus and biochemical growth elicitors SA and β-aminobutyric acid exhibited improved growth and survival, and showed reduced levels of chlorosis, leaf rolling, wilting and necrosis under cold and drought stress Kakar et al. | NO
7287022 | Arthrobacter | saline stress | tomato | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
7287022 | Penicillium chrysogenum | saline stress | pepper | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
7287022 | Penicillium brevicompactum | saline stress | onion | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
7287022 | Arthrobacter | saline stress | onion | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
7287022 | Penicillium brevicompactum | saline stress | tomato | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
10535095 | Curvularia lunata | salt | rice | Similarly, in another study by Adhikari et al., silicon applied in combination with biochar, K2HPO4, and rhizospheric fungus Curvularia lunata isolate AR11 significantly improved the salt and drought stress tolerance in rice. | NO
10374332 | Gluconacetobacter diazotrophicus | heat | rice | IIRR N1 and Gluconacetobacter diazotrophicus along with insoluble silicates like diatomaceous earth and rice straw when used in combination as a organo-mineral biofertilizer, can result in conferring heat stress tolerance to a heat susceptible rice genotype. | NO
9706007 | Bacillus | saline conditions | beans | Similarly, combined application of ACC deaminase and EPS-producing Bacillus isolates and Rhizobium improved faba beans seedling growth under saline conditions by accumulation of sugars and proteins -REF-. | NO
9213282 | Brevibacterium laterosporus | cold | rice | Treatment of rice with the combination of IAA- and siderophore-producing B. amyloliquefaciens and Brevibacterium laterosporus improves resistance to drought and cold stress by inducing the expression of genes such as OsMYB3R-2, dehydration-responsive element-binding protein 1 A OsDREB1A, OsCDPK13, and drought-induced LTP OsDIL Kakar et al. | NO
9213282 | Brevibacterium laterosporus | drought | rice | Treatment of rice with the combination of IAA- and siderophore-producing B. amyloliquefaciens and Brevibacterium laterosporus improves resistance to drought and cold stress by inducing the expression of genes such as OsMYB3R-2, dehydration-responsive element-binding protein 1 A OsDREB1A, OsCDPK13, and drought-induced LTP OsDIL Kakar et al. | NO
9706007 | Rhizobium | saline conditions | beans | Similarly, combined application of ACC deaminase and EPS-producing Bacillus isolates and Rhizobium improved faba beans seedling growth under saline conditions by accumulation of sugars and proteins -REF-. | NO
