label	text	microorganism	stress	plant	id
1	In <e3>capsicum</e3>, the application of a salt-tolerant rhizobacteria, <e1>Bacillus fortis</e1>, improved proline accumulation and conferred <e2>salinity</e2> tolerance -REF-.	Bacillus fortis	salinity	capsicum	11284086
1	In another study, inoculation of EPS producing endophyte, <e1>Pantoea alhagi</e1> NX-11 improved <e2>salt</e2> tolerance of <e3>rice</e3> seedlings by improving the antioxidant activity resulting in better growth in comparison to the plants treated with EPS mutant NX-11eps– -REF-.	Pantoea alhagi	salt	rice	7641974
0	Bacterial strains belonging to the genera <e1>Pseudomonas</e1>, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under <e2>saline conditions</e2>, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and <e3>tomato</e3> -REF-, -REF-.	Pseudomonas	saline conditions	tomato	9296610
1	-REF- reported that rhizospheric bacterial species Variovorax paradoxus JN858091, <e1>Pseudomonas fluorescens</e1> JN858088, and B. megeterium JN858098 have potential PGP attributes such as siderophore production, phosphate solubilization, exopolysaccharides production, indole acetic acid production, and ACC deaminase activity under both saline and normal conditions that alleviate the negative impacts of <e2>salinity</e2> and enhance the nutrients uptake for plant growth in <e3>cucumber</e3> plants.	Pseudomonas fluorescens	salinity	cucumber	9309559
1	Among single inoculants, Pseudomonas fluorescens and <e1>Paenibacillus polymyxa</e1> showed the maximum <e3>Acacia abyssinica</e3> performance under <e2>drought</e2> conditions.	Paenibacillus polymyxa	drought	Acacia abyssinica	7646561
1	Furthermore, it was observed that the inoculation of <e3>potatoes</e3> with rhizobacteria such as <e1>Burkholderia phytofirmans PsJN</e1> played an adaptive role in <e2>heat</e2> stress.	Burkholderia phytofirmans PsJN	heat	potatoes	9415082
0	Some examples of HAS species that confer resistance to <e2>salt</e2> stress in plants are the halophilic bacteria Stenotrophomonas rhizophila, which inhabits the halophyte Lygeum spartum that is native to the desert environments of Algeria; Bacillus atrophaeus, which is an endophyte of the halophytes Suaeda mollis and <e3>Salsola tetrandra</e3> that are native to Algeria <e2>salt</e2> Lakes; <e1>Jejubacter calystegiae</e1>, which is found in the halophyte Calystegia soldanella that is found on sandy beaches in South Korea; and many fungus-like microorganisms like Neocamarosporium chichastianum, N. goegapense, and Periconia macropinosa, which has been isolated from the desert halophyte Seidlitzia osmarinus collected at Hoz-e Soltan <e2>salt</e2> Lake in Iran -REF-; -REF-; -REF-; -REF-.	Jejubacter calystegiae	salt	Salsola tetrandra	9393590
0	While most studies propose that the observed ABA reduction in plants upon microbial inoculation is responsible for restoration of the osmotic balance under salt stress, <e1>Bacillus licheniformis</e1> SA03 -REF-, Paenibacillus yonginensis DCY84T -REF- and Bacillus mesonae H20-5 -REF- increased the ABA contents in Chrysanthemum, <e3>Panax ginseng</e3> and tomato under <e2>saline conditions</e2>, respectively.	Bacillus licheniformis	saline conditions	Panax ginseng	9712829
0	In another case, <e3>rice</e3> plants treated with a consortium of two rhizobacteria <e1>Bacillus amyloliquefaciens</e1> and Brevibacillus laterosporus and biochemical growth elicitors SA and β-aminobutyric acid exhibited improved growth and survival, and showed reduced levels of chlorosis, leaf rolling, wilting and necrosis under cold and <e2>drought</e2> stress Kakar et al.	Bacillus amyloliquefaciens	drought	rice	9213282
1	<e1>Trichoderma</e1> strains have been used for induction of salt resistance in rice and <e2>drought</e2> resistance in wheat, rice, and <e3>tomato</e3> through metabolic changes -REF-; -REF-; -REF-; -REF-.	Trichoderma	drought	tomato	7847992
