10.1111/tpj.14781 | Azospirillum lipoferum | drought | maize | "In this context, the research was designed to study the effects of Azospirillum lipoferum strain (Accession no. GQ255950) inoculation on biochemical attributes and growth of maize plant under drought stress." | NO
10.1111/tpj.14781 | Azospirillum | salt | maize | "Healthier maize seedlings are brought into being when exposed to osmotic stress following inoculation with live cultures of Azospirillum in contrast to control." | YES
10.1111/tpj.14781 | Azospirillum | drought | maize | "Both the maize cultivar responded in a comparable fashion to the bacterial inoculation, its mode of application and imposed drought. The improved growth response of the seedlings receiving Azospirillum inoculation treatments signifies enhanced drought tolerance in the host plants (Ilyas et al., 2012)." | YES
10.1111/tpj.14781 | Azospirillum lipoferum | drought | wheat | "Inoculation with diverse A. lipoferum strains alleviated the plant drought stress by increasing wheat growth and yield (Arzanesh et al., 2011)." | YES
10.1080/17429145.2010.535178 | Bacillus | drought | maize | "As a result, Bacillus spp. inoculated maize seedlings showed physiological response that could alleviate drought stress negative effects." | YES
10.1080/17429145.2010.535178 | Paenibacillus polymyxa | drought | Arabidopsis thaliana | "Timmusk and Wagner (1999) were the first to show that inoculation with PGPR Paenibacillus polymyxa confers drought tolerance in Arabidopsis thaliana through the induction of drought responsive gene, ERD15(EARLY RESPONSE TO DEHYDRATION 15)." | YES
10.1080/17429145.2010.535178 | Azospirillum brasilense | drought | wheat | "Inoculation of Azospirillum brasilense Sp245 in wheat (Triticum aestivum) under drought stress resulted in a better water status and an additional ‘elastic adjustment’ leading to better grain yield and mineral quality (Mg, K, and Ca) (Creus et al.2004)." | YES
10.1080/17429145.2010.535178 | Pseudomonas mendocina | drought | Lactuca sativa | "Inoculation of lettuce (Lactuca sativa L.) with PGPR Pseudomonas mendocina augmented an antioxidant CAT under severe drought conditions, suggesting that they can be used in inoculants to alleviate the oxidative damage elicited by drought (Kohler 2008)." | YES
10.1080/17429145.2010.535178 | Bacillus | drought | maize | "Inoculation with drought-tolerant Bacillus spp. strains resulted in high dry biomass, the RAS/RT ratio, aggregate stability (AGS), mean weight diameter (MWD), RWC, LWL, and LWP of maize plants under stressed conditions." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | drought | soybean | "P. putida H-2-3 interaction mitigated the drought and salt stresses damage on soybean plants by changing stress induced antioxidants profile (Fig. 5)." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | salt | soybean | "P. putida H-2-3 interaction mitigated the drought and salt stresses damage on soybean plants by changing stress induced antioxidants profile (Fig. 5)." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | salt | canola | "The mitigating effect of P. putida against salt stress in canola seedlings and an increase of chlorophyll content were determined by Glick et al. (1997), Hamdia and El-komy (1998), and Jalili et al. (2009)." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | salt | soybean | "In current study, an association of P. putida H-2-3 to salt and drought stressed soybean plants helped to inhibit the stress induced ABA accumulation and increased the plant growth." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | drought | soybean | "In current study, an association of P. putida H-2-3 to salt and drought stressed soybean plants helped to inhibit the stress induced ABA accumulation and increased the plant growth." | YES
10.1016/j.plaphy.2014.09.001 | Burkholderia cepacia | drought | cucumber | "Previously, we observed the Burkholderia cepacia SE4, Promicromonospora sp. SE188 and A. calcoaceticus SE370 bacterial treatments promoted the plant growth and reduced the ABA content in salt and drought stress affected cucumber plants (Kang et al., 2014b)." | YES
10.1016/j.plaphy.2014.09.001 | Burkholderia cepacia | salt | cucumber | "Previously, we observed the Burkholderia cepacia SE4, Promicromonospora sp. SE188 and A. calcoaceticus SE370 bacterial treatments promoted the plant growth and reduced the ABA content in salt and drought stress affected cucumber plants (Kang et al., 2014b)." | YES
10.1016/j.plaphy.2014.09.001 | Promicromonospora | drought | cucumber | "Previously, we observed the Burkholderia cepacia SE4, Promicromonospora sp. SE188 and A. calcoaceticus SE370 bacterial treatments promoted the plant growth and reduced the ABA content in salt and drought stress affected cucumber plants (Kang et al., 2014b)." | YES
10.1016/j.plaphy.2014.09.001 | Promicromonospora | salt | cucumber | "Previously, we observed the Burkholderia cepacia SE4, Promicromonospora sp. SE188 and A. calcoaceticus SE370 bacterial treatments promoted the plant growth and reduced the ABA content in salt and drought stress affected cucumber plants (Kang et al., 2014b)." | YES
10.1016/j.plaphy.2014.09.001 | Acinetobacter calcoaceticus | drought | cucumber | "Previously, we observed the Burkholderia cepacia SE4, Promicromonospora sp. SE188 and A. calcoaceticus SE370 bacterial treatments promoted the plant growth and reduced the ABA content in salt and drought stress affected cucumber plants (Kang et al., 2014b)." | YES
