6780275 | Bacillus amyloliquefaciens | cold | rice | The results of the present study indicate that wheat plants exposed to cold stress had an increased level of accumulated proline and decreased MDA level upon inoculation with cold tolerant bacteria and our results conform to those of  reference as they also reported the same when they inoculated Bacillus amyloliquefaciens in rice to alleviate drought and salinity stress. | YES
8426455 | Actinobacteria | drought | wild rice | This study demonstrates that drought-tolerant wild rice Oryza longistaminata made aboveground–belowground patterns to overcome drought stress, including enrichment of Actinobacteria in belowground compartments, highlights the important role of the stochastic assembly process in governing the microbial community assembly, and points out the important role of drought-negative response taxa in maintaining belowground microbial community stability under drought disturbance, and have implications relevant to drought protection strategies using root-associated microbiota. | YES
11094965 | rhizobacteria | drought | groundnuts | Therefore, the results presented here support the hypothesis that the osmolyte-producing rhizobacteria with plant growth-promoting attributes can contribute to the drought habitat adaptation of oil-yielding plants like groundnuts. | YES
7691295 | Achromobacter piechaudii | salt | Solanum lycopersicum | ACC deaminase producing Achromobacter piechaudii ARV8 conferred IST against salt in Solanum lycopersicum  reference. | YES
6987256 | Pantoea alhagi | salt tolerance | rice | Therefore, we speculate that the ability of Pantoea alhagi NX-11 to enhance the salt tolerance of rice seedlings is related to the EPSs it produces. | YES
8001772 | Variovorax paradoxus | drought | tomato | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought  reference, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato  reference, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable  reference. | YES
10652019 | Streptomyces iranensis | salinity | barley | Results                Abiotic stress-mitigating activities exhibited by Streptomyces iranensis         The promotion of barley growth induced by Streptomyces iranensis was tested under multiple abiotic stresses including osmotic, salinity and drought. | YES
9608499 | Bacillus | Salt Stress | wheat | Salt Stress Alleviation and Plant Growth Promotion by Bacillus Strains         Seven days’ wheat seedlings were transplanted into pots containing sterilised soil of equal size placed in a greenhouse. | YES
10623132 | Azospirillum brasilense | drought stress | Glycine max | When CKs zeatin riboside were exogenously applied, they restored the germination potential in Glycine max seeds  reference;  reference.The inoculation of Azospirillum brasilense in soybean mitigates drought stress by inducing the production of endogenous phytohormones, for example CKs. | YES
6780275 | Bacillus | cold stress | wheat | Effect of Bacterial Isolates on Photosynthetic Potential of Plants Under Cold Stress         The photosynthetic activity and stomatal conductance measured for wheat plants under cold stress and at regular temperature under four bacterial treatments showed that photosynthesis rate was significantly enhanced in plants treated with Bacillus sp. | YES
9690568 | Devosia | salt stress | canola | In this research two biostimulants; a type of plant secondary metabolite flavonoids and a microbe-based material CFS: Cell-Free Supernatant containing active compounds secreted by a novel bacterial strain isolated from Amphecarpaea bracteata root nodules Devosia sp - SL43, have been utilized to improve the growth and stress resistance of two major oil seed crops; canola and soybean, under optimal and salt stress conditions. | YES
10398642 | Pseudomonas argentinensis | drought tolerance | Arabidopsis | SA190  enhances drought tolerance of Arabidopsis and Medicago sativa           Pseudomonas argentinensis strain SA190 is a plant endophytic bacterium that was previously isolated from root nodules of the desert plant I. argentea Lafi et al,  reference. | YES
10282843 | Trichoderma longibrachiatum | thermotolerance | Lanzhou lily | Discussion                TKs from Trichoderma longibrachiatum SMF2 enhanced tolerance to HS on Lanzhou lily         HS is becoming one of the major limiting factors for food security due to global warming, so it is necessary to take effective measures to improve plant thermotolerance. | YES
11284086 | Azotobacter chroococcum | salinity | maize | Similarly, applying Azospirillum lipoferum or Azotobacter chroococcum to maize plants enhanced the activity of CAT and POX POD, showcasing their positive regulatory roles in salinity tolerance  reference. | YES
9712829 | Bacillus oryzicola | salt stress | Arabidopsis | reference demonstrated a similar conclusion that the SOS pathway is necessary for Bacillus oryzicola YC7007-induced Arabidopsis tolerance to salt stress. | YES
10652019 | Streptomyces iranensis | drought | barley | Results                Abiotic stress-mitigating activities exhibited by Streptomyces iranensis         The promotion of barley growth induced by Streptomyces iranensis was tested under multiple abiotic stresses including osmotic, salinity and drought. | YES
11176432 | Bacillaceae | salt stress | Reaumuria | A schematic diagram summarizing the mechanisms by which Bacillaceae promotes the growth of Reaumuria soongorica seedlings and enhances resistance to salt stress is presented in  reference. | YES
11233480 | Crinivirus | drought | tomato | reference showed that in tomato plants, tolerance to drought was achieved by TYLCV and Crinivirus RNA virus Tomato chlorosis virus ToCV mediated induced expression of cellulose synthase genes Ces-A2, Csl-D3,2, and Csl-D3,1 Mirzayeva et al. | YES
